20190504,杨浦,控江路,凤城五村 临810号线 新华医院紫荆广场 精装两房房主自荐,345万,凤城五村  | 2室1厅 | 54.12平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-332bcb9c-26b1-4db2-815c-ca3f31b16008.jpg.296x216.jpg
20190504,杨浦,控江路,舒适装修  楼层好 采光好  朝南小户型！,260万,凤城五村  | 1室1厅 | 39.4平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-74978438-81ce-4dfc-bdd0-6ad654df1a5c.jpg.296x216.jpg
20190504,杨浦,控江路,复式+上下两层带阁楼+相同层高+一梯两户+阳光房采光好,1400万,韵都城  | 6室2厅 | 172平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d08b56fc-51e5-4067-9239-60d27cc02490.jpg.296x216.jpg
20190504,杨浦,控江路,91年原建  精致南北两房  看房方便 诚心出售,225万,延吉东路131弄  | 2室0厅 | 45.78平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-13d417ac-018a-4181-8e67-a0013aa07b31.png.296x216.jpg
20190504,杨浦,控江路,图们路28号 2室1厅 268万,268万,图们路28号  | 2室1厅 | 55.1平米 | 东南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d5f0058a-9622-4000-a09b-7417dc93297c.jpg.296x216.jpg
20190504,杨浦,控江路,满五唯一，近地铁，拎包入住，采光好，配套齐全。,185万,延吉中路117弄  | 1室1厅 | 36.05平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b9619e6b-9735-495e-aca4-0236b550b753.jpg.296x216.jpg
20190504,杨浦,控江路,内环内+一门关+小户型+精装全配+诚意卖,190万,凤城三村  | 1室1厅 | 41.94平米 | 东北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b3816471-98ed-4c14-a60e-1bc3eea6a624.jpg.296x216.jpg
20190504,杨浦,控江路,南北通的格局，楼层好，视野宽阔，采光充足。房主自荐,203万,凤城三村  | 1室1厅 | 39.92平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-0323921f-3189-4413-b66b-c92aebad69c1.png.296x216.jpg
20190504,杨浦,控江路,精装修二房 满五唯一 双南户型 近紫荆广场,335万,凤城一村  | 2室1厅 | 58.93平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7c6c5d6b-a374-4fb3-92a4-cab42c40732f.jpg.296x216.jpg
20190504,杨浦,控江路,延吉东路125弄 2室1厅 290万,290万,延吉东路125弄  | 2室1厅 | 57.76平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1aa63f77-a40a-4a89-a324-27d797ccd9e8.jpg.296x216.jpg
20190504,杨浦,控江路,原建小区+环境好+楼道瓷砖铺道+诚意出售,310万,凤城四村  | 2室1厅 | 53.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ddeaf887-ed43-4452-9507-108883e80000.jpg.296x216.jpg
20190504,杨浦,控江路,西边套带窗户型，南北通格局，楼层居中，采光好，,318万,凤城四村  | 2室0厅 | 51.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e5165b2a-3c8e-4ca8-a01a-adbb8d07084c.jpg.296x216.jpg
20190504,杨浦,控江路,益晖新苑 2室2厅 570万,570万,益晖新苑  | 2室2厅 | 80.91平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d1b535bc-249f-451b-9690-d07a5717815e.jpg.296x216.jpg
20190504,杨浦,控江路,延吉东路137弄 1室1厅 180万,180万,延吉东路137弄  | 1室1厅 | 36平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6e029c5d-c064-4384-89f3-6fe08396e83c.jpg.296x216.jpg
20190504,杨浦,控江路,1988年 朝南一门关 凤城二村 低总价 近紫荆广场,175万,凤城二村  | 1室0厅 | 34.27平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-41fcfeda-f981-41a0-ba34-da3d88e99a3b.png.296x216.jpg
20190504,杨浦,控江路,新凤城 高层景观  南北通透 品质小区江浦路地铁站,850万,新凤城  | 2室2厅 | 99.73平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-79986247-34d3-4a9e-b009-7589bedf7307.jpg.296x216.jpg
20190504,杨浦,控江路,楼层较高采光通风好、装修干净整洁、配套齐全,350万,延吉东路137弄  | 2室1厅 | 67.63平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2256f87c-6141-40f4-b17e-c95da6b976c0.jpg.296x216.jpg
20190504,杨浦,控江路,近地铁临公园  （一房的价格买两房）有钥匙随时看房,240万,控江路740弄  | 2室0厅 | 46.68平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8164ddb7-1bd2-4ea7-8e40-aa9bbdd1db29.jpg.296x216.jpg
20190504,杨浦,控江路,南北通，中间楼层,村房中的战斗户型,260万,凤城三村  | 2室0厅 | 48.07平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-082d02c0-3bb5-4c46-9c83-58993af9c6e3.jpg.296x216.jpg
20190504,杨浦,控江路,控江路1200弄 2室1厅 588万,588万,控江路1200弄  | 2室1厅 | 69.79平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7e76bb08-5834-41b1-9fc5-2459869aad79.jpg.296x216.jpg
20190504,杨浦,控江路,凤城三村+一南一北+业主诚意出售+看房随时,305万,凤城三村  | 2室1厅 | 58平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8cca3bd0-9f33-46b2-aa31-aac473868e31.png.296x216.jpg
20190504,杨浦,控江路,控江一村 2室1厅 510万,510万,控江一村  | 2室1厅 | 62平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-fe716b34-aa0e-4dcc-84c9-3fc93f84ede1.png.296x216.jpg
20190504,杨浦,控江路,三条地铁   满五唯一  楼层好 楼栋好位置佳   急售,340万,凤城五村  | 2室1厅 | 51.09平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2da470c5-2e2c-4398-b7f4-ec285cc29f39.jpg.296x216.jpg
20190504,杨浦,控江路,东山墙全明户型， 居家精装修南北两房，看房方便。,320万,延吉东路131弄  | 2室1厅 | 57.34平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b7c693e4-4233-4196-b670-7002ed0651ab.jpg.296x216.jpg
20190504,杨浦,控江路,双南两房，楼层好，视野好，采光无遮挡,288万,凤城三村  | 2室1厅 | 47.88平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bc61063a-3a3a-47ce-a168-31565f87c401.jpg.296x216.jpg
20190504,杨浦,控江路,控江二村 2室1厅 670万,670万,控江二村  | 2室1厅 | 86.03平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7339dd81-ff30-47fc-a694-c46fd9e2a849.jpg.296x216.jpg
20190504,杨浦,控江路,控江二村 1室1厅 215万房主自荐,215万,控江二村  | 1室1厅 | 38.82平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-839b4777-d0d1-4135-b7cc-1941330088c2.jpg.296x216.jpg
20190504,杨浦,控江路,延吉东路131弄 2室0厅 300万,300万,延吉东路131弄  | 2室0厅 | 52.38平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-8bb73dfb-1677-4dcb-a679-a2182c36a67c.png.296x216.jpg
20190504,杨浦,控江路,凤城二村 中间楼层 总价低 近紫荆广场和8号线江浦站,168万,凤城二村  | 1室1厅 | 34.37平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b0658e7e-99d2-4474-a532-6ffe752ce4a8.png.296x216.jpg
20190504,杨浦,控江路,视野开阔，采光充足，交通便利，配套成熟，看房方便,230万,凤城三村  | 1室1厅 | 43.8平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-99b9734b-cc7e-48cc-acbd-95232dbbcae4.jpg.296x216.jpg
