20190504,闵行,静安新城,复式3房全朝南，全天采光，精装实木地板，大露台,600万,高楼层(共6层)                                                    | 1998年建 |                                 3室2厅 | 129.59平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-811f692a-e38c-4175-ab36-75bd63920364.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,小区中间位置 边套全明户型 采光充足 正一房,260万,高楼层(共6层)                                                    | 1997年建 |                                 1室1厅 | 51.55平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-719128a9-d78b-4bcf-92d3-743a26ecf76f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,房改售房免增值税满五唯一免个税一楼加6平米面积,339万,低楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 60.22平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-618ae119-bded-406e-874d-e29fafd99402.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,地铁口精装双南两房，中间楼层，满五唯一，房型正,388万,低楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 62.56平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d71725f4-83e4-4d22-afd2-fae462f678a4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,中间楼层 采光好 小区安静位置 业主诚意出售 配套齐,350万,中楼层(共13层)                                                    | 2014年建 |                                 1室1厅 | 49.91平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d3b0b49d-2a9e-4698-8b3f-e872b7f99375.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,附带70平阁楼，挑空厅，公寓的价格，别墅区的享受！,815万,高楼层(共4层)                                                    | 2002年建 |                                 3室3厅 | 126.35平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-49546f02-4b6e-49e7-b8a7-da6586883b4a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,房东诚心出售，周六周天随时可看房。,308万,低楼层(共24层)                                                    | 1998年建 |                                 1室1厅 | 56.26平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/prod-9ee77bd2-7686-4319-955c-29725c967bdd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,大上海国际花园罗马园，广场位置，80平大露台，9号线,526万,高楼层(共7层)                                                    | 1994年建 |                                 2室2厅 | 91.56平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-801973e5-a1ef-4124-bdac-c1020276d8c4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,正宗复式，小区安静位置，装修好，可拎包入住,825万,高楼层(共6层)                                                    | 1996年建 |                                 4室2厅 | 164.74平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/320fd2f0-c399-4271-8c6b-35e50992ea18.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,售后公房 满五唯一 中间楼层 看房方便,350万,中楼层(共7层)                                                    | 1997年建 |                                 2室1厅 | 60.51平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-482c62b9-504b-466d-934f-114bb6c11c3a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
