20190504,徐汇,徐汇滨江,南北通户型 满5唯1 有车位 有钥匙 随时看房,1550万,低楼层(共31层)                                                    | 2008年建 |                                 2室2厅 | 132.91平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-0573eba0-e368-430a-9433-d8935f9e0e1d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,尚海湾带露台户型，正3房采光好，业主诚售，看房方便,1945万,低楼层(共37层)                                                    | 2009年建 |                                 3室2厅 | 168平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/48f60f31-0e90-4ae0-9936-9f76d710de65.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,7米面宽景观阳台，3梯2户，带车位，满五税费低,2720万,低楼层(共30层)                                                    | 2009年建 |                                 5室2厅 | 267.79平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4cf19e73-012b-4ec8-81ff-87dbd5292541.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,南北通双阳台江景大两房！看房方便,1500万,高楼层(共37层)                                                    | 2008年建 |                                 2室2厅 | 128平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-dff21da9-d3fb-47f1-b543-10ba69012304.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,高区江景  满五唯一  诚意出售  新装修  拎包入住,1700万,高楼层(共29层)                                                    | 2008年建 |                                 2室2厅 | 134.19平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/37a2c74b-0512-4feb-a92d-856c7dbb7c70.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,顶楼复式带露台，无同户型可比。业主急售南北通大4房,920万,高楼层(共6层)                                                    | 2000年建 |                                 4室2厅 | 174.51平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20171120/9406902b-51dc-45b9-9c70-6e7e9b0588c4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,江景3房 空调地暖全配 房型方正 拎包入住 快满五唯一,1986万,高楼层(共36层)                                                    | 2009年建 |                                 3室2厅 | 177平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-1acf146e-558f-4fa0-8000-2c0291c27720.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,徐汇滨江 一体两户 楼层佳 精装修 近地铁菜场,620万,高楼层(共6层)                                                    | 1999年建 |                                 2室2厅 | 74.7平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d2d46cbb-7949-4d3e-9e56-392f7e403a02.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,江景大宅，新会所、江景视野、瞭望整个弯道江景,5200万,中楼层(共20层)                                                    | 2010年建 |                                 4室2厅 | 399.51平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/test-0dcb0249-0024-4b4e-be96-75bffca58c1d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,好房子，中区正三房，南北全明，统一装修，拎包入住。,1880万,中楼层(共37层)                                                    | 2009年建 |                                 3室2厅 | 169.7平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a3ede2f9-680f-471b-9f86-0b7df2aa8559.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
